id,age,gender,income,logincome,debt,love,nocheating,money,paypercent,logpaypercent
1,18,female,19252.49791497308,9.865396093114377,yesdebt,1,7,9,46,3.828641396489095
2,22,male,11616.778795062979,9.360205779846686,nodebt,10,10,3,56,4.02535169073515
3,18,female,16188.991936062172,9.692086780129218,yesdebt,10,3,5,42,3.7376696182833684
4,26,female,18194.29047010399,9.808863113413627,yesdebt,2,1,3,82,4.406719247264253
5,27,female,24483.616442539525,10.105759456211082,yesdebt,5,10,9,93,4.532599493153256
6,21,female,22352.762655057588,10.014705201130194,nodebt,10,4,9,42,3.7376696182833684
7,19,male,11841.842389645633,9.379394503566031,yesdebt,3,10,9,89,4.48863636973214
8,27,female,19873.927272882167,9.897163964374437,nodebt,4,10,7,55,4.007333185232471
9,18,male,27422.03458577603,10.21910215115773,nodebt,1,10,3,43,3.7612001156935624
10,25,female,9968.041094366203,9.20713936364777,yesdebt,6,3,8,53,3.970291913552122
11,24,female,26353.996309621132,10.179375205074116,nodebt,10,10,10,52,3.9512437185814275
12,21,female,4034.677255222583,8.302681591190867,nodebt,10,8,5,38,3.6375861597263857
13,26,male,7823.751838570923,8.964919493237563,yesdebt,10,10,10,57,4.04305126783455
14,22,female,16096.902585557033,9.686382146473749,nodebt,10,3,2,10,2.302585092994046
15,21,male,1364.9939177596116,7.218905251755368,yesdebt,10,5,5,77,4.343805421853684
16,27,female,17562.464470357096,9.77351920303389,nodebt,10,9,2,2,0.6931471805599453
17,19,male,2048.3489447797256,NA,yesdebt,10,5,8,89,4.48863636973214
18,20,male,9060.388532784527,9.111667282530819,yesdebt,10,10,4,21,3.044522437723423
19,26,female,7384.465874239572,8.907133866586754,yesdebt,10,10,9,41,3.713572066704308
20,26,female,22471.903357796797,10.020021068213993,nodebt,5,10,7,64,4.1588830833596715
21,21,female,6204.136942118161,8.73297159725046,yesdebt,4,3,3,89,4.48863636973214
22,22,female,25376.880809792092,10.141593834180233,nodebt,4,10,1,59,4.07753744390572
23,22,male,8505.047908319091,9.048415137773425,nodebt,10,10,4,14,2.6390573296152584
24,21,male,12294.4622900186,9.416904219657217,nodebt,6,10,8,96,4.564348191467836
25,19,male,8367.358865724626,9.032093565984718,nodebt,2,7,2,74,4.30406509320417
26,25,female,23613.21745319522,10.06956189581382,nodebt,10,10,4,13,2.5649493574615367
27,20,female,4376.841555911229,8.384082637292193,nodebt,1,10,7,32,3.4657359027997265
28,27,male,20919.259987688503,9.948425544115752,nodebt,10,10,5,52,3.9512437185814275
29,18,male,22813.385204983184,10.035102713078123,nodebt,3,10,6,53,3.970291913552122
30,27,male,11985.478010817042,9.391451030163001,nodebt,10,3,4,50,3.912023005428146
31,25,male,4592.869960111571,8.432260371299591,yesdebt,9,10,10,58,4.060443010546419
32,23,male,20801.634759399625,9.942786856802952,yesdebt,10,10,9,53,3.970291913552122
33,27,female,7237.438584461284,8.887022636105874,nodebt,4,10,4,93,4.532599493153256
34,25,female,7900.7011254533545,8.974706784574446,nodebt,10,9,10,93,4.532599493153256
35,21,male,9510.265782311979,9.160127102815782,yesdebt,10,10,10,99,4.59511985013459
36,21,male,7526.7449891407705,8.926217954978846,yesdebt,10,10,10,51,3.9318256327243257
37,23,male,28266.61862515564,10.249436833528682,nodebt,10,10,10,21,3.044522437723423
38,19,female,19913.053231575264,9.899130736962316,yesdebt,10,10,6,26,3.258096538021482
39,22,male,17709.13029979594,9.781835621710853,yesdebt,10,10,4,47,3.8501476017100584
40,21,female,10391.928315900019,9.248784660318563,yesdebt,10,10,10,35,3.5553480614894135
41,19,female,23405.404680818112,10.06072224394223,yesdebt,10,3,10,19,2.9444389791664403
42,25,male,6868.422150959504,8.834689686488245,nodebt,2,10,5,32,3.4657359027997265
43,19,male,13318.63837587683,9.496919714835876,yesdebt,5,10,8,42,3.7376696182833684
44,20,male,23823.884820835832,10.078443920326636,nodebt,7,8,2,91,4.51085950651685
45,25,female,7529.9474818440085,8.926643346246909,nodebt,9,3,10,81,4.394449154672439
46,24,female,15298.717294250102,9.635524266888893,nodebt,4,10,8,33,3.4965075614664802
47,18,female,8847.390833932237,9.087877873509107,nodebt,10,10,2,34,3.5263605246161616
48,22,male,11899.47016073361,9.384249153800285,yesdebt,10,10,6,19,2.9444389791664403
49,27,male,14569.28206293611,9.586670622953653,yesdebt,7,3,8,16,2.772588722239781
50,19,female,13491.660192187754,9.509827009990353,yesdebt,10,10,5,9,2.1972245773362196
51,23,female,22725.587306061083,10.031246762762821,yesdebt,8,10,2,92,4.5217885770490405
52,23,female,20007.252775125515,9.903850125554863,nodebt,7,10,9,16,2.772588722239781
53,19,male,21543.14258432971,9.97781283534863,nodebt,10,7,8,6,1.791759469228055
54,21,female,21771.505011336274,9.988357284192588,yesdebt,3,4,8,90,4.499809670330265
55,20,male,25653.57858526225,10.152438356862094,yesdebt,7,10,3,96,4.564348191467836
56,23,female,16815.746040022597,9.730070990720495,yesdebt,3,8,3,36,3.58351893845611
57,22,female,20228.078558341997,9.914826945835896,yesdebt,7,10,5,91,4.51085950651685
58,19,female,12274.845242151476,9.41530734501921,nodebt,10,1,5,65,4.174387269895637
59,24,male,14072.16750125285,9.55195418950551,nodebt,2,10,10,20,2.995732273553991
60,23,male,19286.8038315109,9.867176401736705,nodebt,8,10,5,31,3.4339872044851463
61,27,male,12298.50589896035,9.417233062352993,yesdebt,10,10,8,89,4.48863636973214
62,27,female,12004.649746369967,9.393049332583752,yesdebt,10,10,6,27,3.295836866004329
63,25,male,17182.268441478056,9.751633226488718,nodebt,5,8,9,80,4.382026634673881
64,22,female,27287.342413444363,10.214178225795967,yesdebt,2,10,5,26,3.258096538021482
