id,age,gender,income,logincome,debt,love,nocheating,money,paypercent,logpaypercent
2,20,male,15000,9.61580548,nodebt,10,10,7,64.2,4.162003211
4,22,male,30000,10.30895266,nodebt,10,5,1,90.8,4.508659286
5,19,female,1500,7.313220387,nodebt,10,10,5,19.4,2.965273066
6,22,female,12000,9.392661929,nodebt,10,10,9,56.3,4.030694535
7,19,male,12000,9.392661929,nodebt,10,9,7,56.3,4.030694535
8,25,male,30000,10.30895266,nodebt,10,10,10,90.8,4.508659286
9,25,female,16000,9.680344001,nodebt,10,10,5,68.7,4.229749199
10,20,female,4000,8.29404964,nodebt,10,10,10,28.5,3.349904087
11,23,female,6596,8.794218684,nodebt,5,10,10,40.7,3.706228092
12,19,female,10000,9.210340372,nodebt,10,10,8,50,3.912023005
14,23,male,30000,10.30895266,nodebt,8,10,9,90.8,4.508659286
15,20,male,8000,8.987196821,nodebt,10,10,1,44.2,3.788724789
17,20,male,2000,7.60090246,yesdebt,10,10,1,20.8,3.034952987
18,21,male,3000,8.006367568,nodebt,10,10,8,25,3.218875825
20,19,female,4000,8.29404964,nodebt,10,10,10,28.5,3.349904087
21,21,female,12000,9.392661929,nodebt,10,10,7,56.4,4.032469159
22,19,male,3000,8.006367568,nodebt,10,10,7,25,3.218875825
23,24,male,15000,9.61580548,nodebt,10,10,10,64.2,4.162003211
24,23,male,30000,10.30895266,yesdebt,10,10,1,90.9,4.509760001
25,25,female,4000,8.29404964,yesdebt,10,10,5,28.5,3.349904087
26,19,female,16320,9.700146629,nodebt,10,10,10,70.1,4.249922794
28,23,male,7000,8.853665428,nodebt,10,10,2,40.9,3.711130063
29,20,male,15000,9.61580548,nodebt,10,10,5,64.2,4.162003211
30,19,male,8000,8.987196821,yesdebt,10,10,5,44.3,3.790984677
31,20,male,1500,7.313220387,nodebt,10,10,8,19.5,2.970414466
32,21,male,22000,9.998797732,yesdebt,10,10,9,80.5,4.388257184
33,23,male,44000,10.69194491,nodebt,8,10,6,97.6,4.580877493
34,20,male,11200,9.323669057,nodebt,10,10,9,56.2,4.028916757
35,20,female,43000,10.66895539,yesdebt,10,10,5,97.6,4.580877493
36,22,female,13000,9.472704636,yesdebt,10,10,8,59.9,4.092676505
37,23,male,2000,7.60090246,yesdebt,10,10,7,20.9,3.039749159
38,20,male,8000,8.987196821,nodebt,10,10,8,44.3,3.790984677
40,21,female,10000,9.210340372,yesdebt,9,10,7,50,3.912023005
41,24,male,15000,9.61580548,nodebt,5,8,10,64.2,4.162003211
43,22,male,20000,9.903487553,yesdebt,10,10,7,75,4.317488114
44,21,female,23000,10.04324949,yesdebt,10,10,1,82.4,4.411585437
45,24,female,16000,9.680344001,nodebt,10,10,1,68.7,4.229749199
47,21,male,20000,9.903487553,yesdebt,9,10,4,75,4.317488114
48,23,male,5000,8.517193191,nodebt,10,10,7,32.1,3.46885603
49,23,male,18400,9.820105944,nodebt,10,9,10,73.9,4.302712828
51,22,female,3000,8.006367568,nodebt,10,10,10,25,3.218875825
52,21,male,15000,9.61580548,nodebt,9,10,6,64.2,4.162003211
53,24,male,27000,10.20359214,nodebt,8,10,8,88.7,4.485259889
54,23,male,19000,9.852194258,nodebt,10,10,8,74.1,4.305415532
55,20,female,8000,8.987196821,yesdebt,10,10,7,44.3,3.790984677
57,22,male,24000,10.08580911,nodebt,10,10,10,83.5,4.424846632
58,22,female,3000,8.006367568,nodebt,10,9,3,25,3.218875825
59,19,male,5000,8.517193191,nodebt,10,10,7,32.1,3.46885603
63,24,female,21000,9.952277717,yesdebt,10,10,3,79.1,4.370712875
65,20,female,15000,9.61580548,yesdebt,10,10,1,64.3,4.163559631
67,24,female,9000,9.104979856,yesdebt,10,10,8,47.6,3.862832761
68,22,female,12000,9.392661929,yesdebt,10,10,9,56.4,4.032469159
69,21,male,2500,7.824046011,nodebt,10,10,10,24,3.17805383
72,23,female,15000,9.61580548,yesdebt,10,10,5,64.3,4.163559631
73,22,female,22000,9.998797732,yesdebt,10,10,1,80.5,4.388257184
76,21,male,25000,10.1266311,yesdebt,10,10,5,84.8,4.440295543
77,20,female,9000,9.104979856,nodebt,10,10,3,47.6,3.862832761
79,22,male,26000,10.16585182,yesdebt,8,8,5,87.6,4.472780998
80,20,female,5000,8.517193191,nodebt,10,10,8,32.2,3.471966453
81,22,male,3000,8.006367568,nodebt,10,10,8,25.1,3.222867846
83,21,female,3000,8.006367568,nodebt,10,10,5,25.1,3.222867846
84,20,female,10000,9.210340372,nodebt,10,10,10,50.1,3.914021008
86,21,female,6000,8.699514748,nodebt,10,10,8,37.1,3.61361697
87,21,male,29400,10.28874995,nodebt,10,10,6,90.7,4.507557357
88,25,male,15000,9.61580548,nodebt,10,10,5,64.3,4.163559631
89,23,female,12000,9.392661929,nodebt,10,10,10,56.4,4.032469159
90,24,female,13600,9.517825072,nodebt,10,8,10,62.3,4.131961426
91,23,male,19000,9.852194258,nodebt,10,10,6,74.1,4.305415532
93,19,male,3000,8.006367568,nodebt,10,10,6,25.1,3.222867846
94,23,female,20000,9.903487553,yesdebt,10,10,8,75,4.317488114
95,27,male,3000,8.006367568,nodebt,7,10,5,25.1,3.222867846
96,21,female,2000,7.60090246,yesdebt,10,10,7,21,3.044522438
98,23,female,15000,9.61580548,nodebt,10,10,3,64.3,4.163559631
99,24,male,17000,9.740968623,nodebt,10,10,10,70.3,4.252771799
100,25,male,4800,8.476371197,yesdebt,10,10,10,32,3.465735903
101,24,male,20000,9.903487553,yesdebt,10,10,8,75.1,4.318820559
102,22,male,9000,9.104979856,nodebt,10,10,10,47.6,3.862832761
103,22,male,10000,9.210340372,yesdebt,10,10,5,50.1,3.914021008
104,22,female,4000,8.29404964,yesdebt,10,10,10,28.5,3.349904087
105,22,male,20000,9.903487553,yesdebt,8,10,1,75.1,4.318820559
107,22,female,10000,9.210340372,yesdebt,10,10,6,50.1,3.914021008
108,21,male,12000,9.392661929,yesdebt,10,10,7,56.5,4.034240638
110,22,female,28000,10.23995979,nodebt,10,10,10,89.5,4.494238625
111,24,female,32000,10.37349118,yesdebt,10,10,10,93.2,4.534747722
112,22,male,33000,10.40426284,nodebt,10,10,7,94,4.543294782
113,23,male,35000,10.46310334,nodebt,10,10,1,94.6,4.549657476
114,26,female,26800,10.19615717,nodebt,10,10,9,88.6,4.484131858
116,22,female,3000,8.006367568,yesdebt,10,10,8,25.1,3.222867846
117,19,female,4000,8.29404964,nodebt,10,10,8,28.6,3.353406718
118,23,female,1400,7.244227516,nodebt,10,10,10,19.3,2.960105096
119,22,female,18000,9.798127037,nodebt,10,10,10,72,4.276666119
120,21,female,21000,9.952277717,nodebt,10,10,1,79.2,4.371976299
121,24,female,12000,9.392661929,yesdebt,8,10,8,56.5,4.034240638
122,21,female,12000,9.392661929,nodebt,9,10,10,56.5,4.034240638
124,22,female,7000,8.853665428,yesdebt,10,10,9,40.9,3.711130063
125,23,male,25000,10.1266311,yesdebt,8,10,4,84.8,4.440295543
128,22,male,22000,9.998797732,nodebt,10,10,8,80.5,4.388257184
131,23,male,43000,10.66895539,nodebt,10,10,10,97.6,4.580877493
132,25,male,19000,9.852194258,yesdebt,10,10,7,74.2,4.30676415
133,22,male,20000,9.903487553,yesdebt,10,10,1,75.1,4.318820559
135,23,male,23500,10.0647557,yesdebt,10,10,1,83.4,4.423648309
136,23,female,11000,9.305650552,yesdebt,10,10,10,55.1,4.009149716
137,23,male,5500,8.612503371,nodebt,10,10,2,36.8,3.605497845
138,26,male,14000,9.546812609,nodebt,10,10,1,62.4,4.133565275
140,23,female,17000,9.740968623,yesdebt,10,5,8,70.3,4.252771799
141,23,female,28500,10.25765937,yesdebt,10,10,6,90.1,4.500920165
142,22,female,15000,9.61580548,yesdebt,10,10,6,64.3,4.163559631
143,24,female,6000,8.699514748,yesdebt,10,10,5,37.1,3.61361697
144,22,female,12000,9.392661929,yesdebt,10,10,2,56.6,4.036008985
148,21,female,20000,9.903487553,yesdebt,10,10,2,75.1,4.318820559
150,21,male,38000,10.54534144,nodebt,10,10,1,96.4,4.568506202
151,20,female,5000,8.517193191,nodebt,10,10,5,32.3,3.47506723
152,22,female,8000,8.987196821,nodebt,10,10,10,44.3,3.790984677
153,19,male,7000,8.853665428,nodebt,9,9,1,40.9,3.711130063
154,21,male,20000,9.903487553,nodebt,10,10,5,75.1,4.318820559
155,25,female,18000,9.798127037,yesdebt,8,10,4,72.1,4.278054044
156,21,male,24000,10.08580911,yesdebt,10,10,10,83.6,4.42604352
157,24,male,32000,10.37349118,nodebt,10,10,2,93.3,4.535820108
158,19,female,1500,7.313220387,yesdebt,10,10,5,19.5,2.970414466
159,25,female,2000,7.60090246,nodebt,10,10,5,21,3.044522438
160,23,female,29000,10.27505111,yesdebt,10,9,9,90.2,4.502029427
161,24,male,35000,10.46310334,yesdebt,10,10,7,94.6,4.549657476
162,25,female,30000,10.30895266,nodebt,10,10,10,90.9,4.509760001
163,24,female,2000,7.60090246,nodebt,10,10,5,21,3.044522438
164,20,female,3500,8.160518247,yesdebt,10,10,3,27.7,3.321432413
165,20,female,15000,9.61580548,yesdebt,10,10,6,64.3,4.163559631
166,24,female,14000,9.546812609,nodebt,10,10,5,62.4,4.133565275
167,20,female,18000,9.798127037,yesdebt,10,10,5,72.1,4.278054044
168,21,female,6000,8.699514748,yesdebt,10,10,3,37.2,3.616308761
169,22,male,20000,9.903487553,nodebt,10,10,10,75.2,4.320151231
170,21,male,20000,9.903487553,nodebt,10,10,10,75.2,4.320151231
172,23,male,28000,10.23995979,nodebt,10,10,1,89.6,4.49535532
173,21,female,6500,8.779557456,nodebt,10,10,7,40.4,3.698829785
174,23,female,3000,8.006367568,nodebt,10,10,5,25.1,3.222867846
175,22,female,20000,9.903487553,yesdebt,10,10,10,75.2,4.320151231
178,20,female,4000,8.29404964,nodebt,10,10,2,28.6,3.353406718
179,21,female,4000,8.29404964,yesdebt,8,10,4,28.7,3.356897123
180,23,female,15000,9.61580548,nodebt,10,10,10,64.4,4.165113633
181,21,female,8000,8.987196821,nodebt,10,10,9,44.4,3.793239469
182,24,female,7889,8.973224663,yesdebt,10,10,10,44.2,3.788724789
183,21,female,10000,9.210340372,nodebt,10,10,4,50.1,3.914021008
185,26,male,25000,10.1266311,nodebt,10,10,10,84.8,4.440295543
187,23,male,16000,9.680344001,nodebt,10,10,3,68.7,4.229749199
188,23,male,30000,10.30895266,nodebt,10,10,1,90.9,4.509760001
189,20,female,4800,8.476371197,nodebt,10,10,10,32,3.465735903
190,25,male,7000,8.853665428,yesdebt,10,10,9,40.9,3.711130063
191,23,male,22000,9.998797732,nodebt,10,10,2,80.5,4.388257184
194,23,female,9000,9.104979856,nodebt,10,10,3,47.7,3.864931398
195,22,male,14000,9.546812609,nodebt,10,10,8,62.4,4.133565275
197,23,female,40000,10.59663473,nodebt,9,9,9,96.7,4.571613402
198,21,female,6000,8.699514748,nodebt,10,10,5,37.2,3.616308761
199,22,female,8500,9.047821442,yesdebt,10,10,9,47.1,3.852273001
200,24,female,13000,9.472704636,nodebt,10,10,7,59.9,4.092676505
202,22,male,32000,10.37349118,nodebt,10,10,5,93.3,4.535820108
203,23,female,4000,8.29404964,nodebt,10,10,10,28.7,3.356897123
206,24,female,2500,7.824046011,nodebt,10,10,10,24,3.17805383
207,20,male,25000,10.1266311,nodebt,10,10,5,84.8,4.440295543
209,23,female,1500,7.313220387,nodebt,10,10,10,19.5,2.970414466
210,21,female,19000,9.852194258,yesdebt,10,10,7,74.2,4.30676415
211,19,male,40000,10.59663473,nodebt,10,5,10,96.7,4.571613402
212,23,male,23000,10.04324949,yesdebt,9,9,3,82.4,4.411585437
213,19,female,18000,9.798127037,nodebt,10,10,5,72.1,4.278054044
214,20,female,16000,9.680344001,nodebt,10,10,5,68.7,4.229749199
215,20,female,11000,9.305650552,nodebt,10,10,4,55.1,4.009149716
216,19,female,3000,8.006367568,nodebt,10,10,9,25.2,3.226843995
217,19,female,22000,9.998797732,yesdebt,10,10,7,80.6,4.38949865
218,24,male,8000,8.987196821,nodebt,10,10,1,44.4,3.793239469
219,21,female,15000,9.61580548,nodebt,10,10,5,64.4,4.165113633
220,23,female,23000,10.04324949,yesdebt,10,10,4,82.4,4.411585437
222,22,male,20000,9.903487553,nodebt,10,10,3,75.2,4.320151231
223,21,female,15000,9.61580548,yesdebt,10,10,1,64.4,4.165113633
224,22,female,23000,10.04324949,yesdebt,10,10,4,82.5,4.412798293
226,23,male,6500,8.779557456,yesdebt,8,10,8,40.5,3.701301974
227,22,female,3300,8.101677747,nodebt,10,10,7,27.6,3.317815773
228,22,male,8500,9.047821442,yesdebt,10,10,7,47.2,3.854393893
229,25,female,20000,9.903487553,yesdebt,10,10,3,75.2,4.320151231
230,23,female,21000,9.952277717,nodebt,10,10,8,79.2,4.371976299
231,21,male,28000,10.23995979,nodebt,10,9,6,89.6,4.49535532
232,22,female,5000,8.517193191,yesdebt,10,10,10,32.3,3.47506723
233,25,female,18000,9.798127037,yesdebt,10,10,5,72.1,4.278054044
234,21,female,9000,9.104979856,yesdebt,5,10,4,47.7,3.864931398
235,22,female,8960,9.100525506,nodebt,10,10,10,47.6,3.862832761
236,24,male,37000,10.51867319,yesdebt,10,10,6,96.2,4.566429358
