Location,TimeFrame,DataFormat,Data
United States,2007,Number,9913000
United States,2007,Percent,0.15
United States,2011-2012,Percent,0.17
United States,2011-2012,Number,11177000
Alabama,2011-2012,Number,172000
Alabama,2011-2012,Percent,0.17
Alabama,2007,Percent,0.18
Alabama,2007,Number,186000
Alaska,2007,Number,24000
Alaska,2007,Percent,0.15
Alaska,2011-2012,Percent,0.15
Alaska,2011-2012,Number,24000
Arizona,2011-2012,Number,241000
Arizona,2011-2012,Percent,0.17
Arizona,2007,Percent,0.14
Arizona,2007,Number,197000
Arkansas,2007,Number,119000
Arkansas,2007,Percent,0.19
Arkansas,2011-2012,Percent,0.22
Arkansas,2011-2012,Number,141000
California,2011-2012,Number,1011000
California,2011-2012,Percent,0.12
California,2007,Percent,0.13
California,2007,Number,1062000
Colorado,2007,Number,138000
Colorado,2007,Percent,0.13
Colorado,2011-2012,Percent,0.14
Colorado,2011-2012,Number,154000
Connecticut,2011-2012,Number,125000
Connecticut,2011-2012,Percent,0.17
Connecticut,2007,Percent,0.16
Connecticut,2007,Number,115000
Delaware,2007,Number,34000
Delaware,2007,Percent,0.19
Delaware,2011-2012,Percent,0.2
Delaware,2011-2012,Number,37000
District of Columbia,2011-2012,Number,15000
District of Columbia,2011-2012,Percent,0.17
District of Columbia,2007,Percent,0.15
District of Columbia,2007,Number,15000
Florida,2007,Number,550000
Florida,2007,Percent,0.16
Florida,2011-2012,Percent,0.18
Florida,2011-2012,Number,637000
Georgia,2011-2012,Number,380000
Georgia,2011-2012,Percent,0.17
Georgia,2007,Percent,0.12
Georgia,2007,Number,275000
Hawaii,2007,Number,30000
Hawaii,2007,Percent,0.13
Hawaii,2011-2012,Percent,0.13
Hawaii,2011-2012,Number,36000
Idaho,2011-2012,Number,56000
Idaho,2011-2012,Percent,0.15
Idaho,2007,Percent,0.14
Idaho,2007,Number,52000
Illinois,2007,Number,364000
Illinois,2007,Percent,0.13
Illinois,2011-2012,Percent,0.15
Illinois,2011-2012,Number,419000
Indiana,2011-2012,Number,318000
Indiana,2011-2012,Percent,0.22
Indiana,2007,Percent,0.18
Indiana,2007,Number,260000
Iowa,2007,Number,104000
Iowa,2007,Percent,0.17
Iowa,2011-2012,Percent,0.19
Iowa,2011-2012,Number,121000
Kansas,2011-2012,Number,104000
Kansas,2011-2012,Percent,0.16
Kansas,2007,Percent,0.16
Kansas,2007,Number,101000
Kentucky,2007,Number,161000
Kentucky,2007,Percent,0.18
Kentucky,2011-2012,Percent,0.24
Kentucky,2011-2012,Number,220000
Louisiana,2011-2012,Number,206000
Louisiana,2011-2012,Percent,0.21
Louisiana,2007,Number,178000
Louisiana,2007,Percent,0.19
Maine,2007,Percent,0.2
Maine,2007,Number,50000
