state,year,reports
Alabama,2000,3
Alabama,2002,1
Alabama,2005,3
Alabama,2006,2
Alabama,2009,1
Alabama,2015,2
Alabama,2016,2
Alaska,2001,1
Alaska,2004,1
Arizona,2000,5
Arizona,2001,2
Arizona,2002,3
Arizona,2007,2
Arizona,2009,1
Arizona,2012,1
Arizona,2013,2
Arizona,2014,1
Arizona,2015,1
Arkansas,2000,1
Arkansas,2001,1
Arkansas,2002,1
Arkansas,2003,1
Arkansas,2004,1
Arkansas,2005,1
Arkansas,2008,5
Arkansas,2014,1
Arkansas,2016,1
California,2000,11
California,2001,11
California,2002,22
California,2003,8
California,2004,4
California,2005,15
California,2006,4
California,2007,3
California,2008,11
California,2009,12
California,2010,3
California,2011,6
California,2012,2
California,2013,1
California,2015,8
California,2016,5
Colorado,2002,1
Colorado,2004,1
Colorado,2006,2
Colorado,2008,3
Colorado,2013,2
Colorado,2015,1
Connecticut,2000,1
Connecticut,2002,1
Connecticut,2003,1
Connecticut,2005,2
Connecticut,2014,1
Delaware,2001,1
Delaware,2003,1
Delaware,2007,1
Delaware,2009,1
Delaware,2010,1
Delaware,2014,1
District of Columbia,2006,2
Florida,2000,5
Florida,2001,5
Florida,2002,8
Florida,2003,4
Florida,2004,3
Florida,2005,7
Florida,2006,6
Florida,2007,5
Florida,2008,7
Florida,2009,9
Florida,2010,5
Florida,2011,1
Florida,2012,3
Florida,2014,4
Florida,2015,2
Georgia,2001,4
Georgia,2002,8
Georgia,2003,1
Georgia,2004,4
Georgia,2005,1
Georgia,2007,2
Georgia,2008,7
Georgia,2009,4
Georgia,2014,1
Georgia,2015,1
Hawaii,2007,2
Hawaii,2008,1
Hawaii,2009,1
Idaho,2004,1
Idaho,2008,1
Idaho,2011,1
Illinois,2000,5
Illinois,2001,5
Illinois,2002,5
Illinois,2003,6
Illinois,2004,1
Illinois,2005,4
Illinois,2006,3
Illinois,2007,4
Illinois,2008,5
Illinois,2009,3
Illinois,2010,2
Illinois,2012,1
Illinois,2013,1
Illinois,2014,2
Illinois,2015,1
Indiana,1999,1
Indiana,2000,1
Indiana,2001,1
Indiana,2002,4
Indiana,2003,1
Indiana,2005,2
Indiana,2006,2
Indiana,2007,1
Indiana,2008,6
Indiana,2009,3
Indiana,2013,4
Indiana,2014,1
Indiana,2015,1
Indiana,2016,1
Iowa,2001,1
Iowa,2009,1
Iowa,2011,1
Iowa,2012,2
Kansas,2000,1
Kansas,2002,2
Kansas,2003,3
Kansas,2005,1
Kansas,2011,1
Kentucky,2000,3
Kentucky,2002,1
Kentucky,2003,4
Kentucky,2005,4
Kentucky,2009,2
Kentucky,2011,1
Kentucky,2014,2
Louisiana,2000,2
Louisiana,2001,1
Louisiana,2002,1
Louisiana,2003,13
Louisiana,2004,1
Louisiana,2006,3
Louisiana,2008,1
Louisiana,2009,1
Louisiana,2012,1
Louisiana,2014,1
Louisiana,2015,1
Maine,2000,1
Maine,2003,1
Maine,2004,1
Maine,2006,1
Maine,2007,1
Maine,2013,1
Maine,2014,2
Maryland,2000,2
Maryland,2001,3
Maryland,2002,2
Maryland,2004,3
Maryland,2005,3
Maryland,2006,13
Maryland,2007,19
Maryland,2008,3
Maryland,2009,2
Maryland,2012,1
Maryland,2014,1
Massachusetts,2000,2
Massachusetts,2002,3
Massachusetts,2003,1
Massachusetts,2004,2
Massachusetts,2005,3
Massachusetts,2006,1
Massachusetts,2007,1
Massachusetts,2008,2
Massachusetts,2009,3
Massachusetts,2013,1
Massachusetts,2016,2
Michigan,2000,2
Michigan,2001,3
Michigan,2002,5
Michigan,2003,1
Michigan,2004,2
Michigan,2005,1
Michigan,2007,4
Michigan,2008,5
Michigan,2009,1
Michigan,2011,1
Michigan,2012,1
Michigan,2016,1
Minnesota,2000,1
Minnesota,2001,1
Minnesota,2002,6
Minnesota,2005,4
Minnesota,2006,1
Minnesota,2007,1
Minnesota,2008,1
Minnesota,2014,3
Mississippi,2001,1
Mississippi,2002,2
Mississippi,2003,1
Mississippi,2004,1
Mississippi,2005,1
Mississippi,2008,2
Mississippi,2013,1
Missouri,2000,2
Missouri,2001,4
Missouri,2002,7
Missouri,2003,3
Missouri,2004,1
Missouri,2005,2
Missouri,2008,3
Missouri,2010,1
Missouri,2011,1
Missouri,2016,1
Montana,2000,1
Montana,2008,1
Montana,2010,2
Nebraska,2001,1
Nebraska,2003,2
Nebraska,2007,1
Nebraska,2015,1
Nevada,2000,1
Nevada,2003,1
Nevada,2004,1
Nevada,2005,1
Nevada,2008,2
Nevada,2009,1
Nevada,2013,1
Nevada,2014,1
Nevada,2015,3
New Hampshire,2000,1
New Hampshire,2001,1
New Hampshire,2003,1
New Hampshire,2005,1
New Hampshire,2008,1
New Hampshire,2009,1
New Hampshire,2010,1
New Hampshire,2012,1
New Jersey,2000,6
New Jersey,2001,4
New Jersey,2002,10
New Jersey,2003,4
New Jersey,2004,4
New Jersey,2005,7
New Jersey,2006,4
New Jersey,2007,2
New Jersey,2008,3
New Jersey,2009,4
New Jersey,2012,2
New Jersey,2013,1
New Jersey,2015,2
New Mexico,2002,1
New Mexico,2003,1
New York,2000,4
New York,2001,2
New York,2002,9
New York,2003,5
New York,2004,3
New York,2005,6
New York,2006,4
New York,2007,7
New York,2008,1
New York,2009,8
New York,2011,1
New York,2012,1
New York,2014,1
New York,2015,1
New York,2016,4
North Carolina,2002,8
North Carolina,2004,2
North Carolina,2005,1
North Carolina,2006,1
North Carolina,2007,4
North Carolina,2008,2
North Carolina,2009,3
North Carolina,2012,2
North Carolina,2013,4
North Carolina,2014,2
North Carolina,2015,2
North Carolina,2016,1
Ohio,2000,5
Ohio,2001,1
Ohio,2002,3
Ohio,2003,2
Ohio,2004,6
Ohio,2005,2
Ohio,2007,5
Ohio,2008,1
Ohio,2009,4
Ohio,2014,2
Ohio,2015,3
Oklahoma,2002,1
Oklahoma,2003,1
Oklahoma,2008,2
Oklahoma,2009,1
Oklahoma,2012,1
Oregon,2001,2
Oregon,2002,3
Oregon,2003,4
Oregon,2004,2
Oregon,2005,1
Oregon,2006,3
Oregon,2008,3
Oregon,2010,2
Oregon,2011,1
Pennsylvania,2000,1
Pennsylvania,2001,5
Pennsylvania,2002,10
Pennsylvania,2003,8
Pennsylvania,2004,7
Pennsylvania,2005,4
Pennsylvania,2006,2
Pennsylvania,2007,3
Pennsylvania,2008,11
Pennsylvania,2009,2
Pennsylvania,2010,1
Pennsylvania,2011,2
Pennsylvania,2012,1
Pennsylvania,2013,1
Pennsylvania,2014,2
Pennsylvania,2015,3
Pennsylvania,2016,1
Puerto Rico,2015,1
Rhode Island,1999,1
Rhode Island,2003,1
South Carolina,2001,1
South Carolina,2002,2
South Carolina,2003,1
South Carolina,2004,1
South Carolina,2005,1
South Dakota,2010,1
Tennessee,2000,1
Tennessee,2001,2
Tennessee,2002,3
Tennessee,2004,1
Tennessee,2005,2
Tennessee,2006,1
Tennessee,2008,1
Tennessee,2009,1
Tennessee,2010,1
Tennessee,2012,2
Tennessee,2013,2
Texas,2000,2
Texas,2001,3
Texas,2002,12
Texas,2003,3
Texas,2004,2
Texas,2005,5
Texas,2006,3
Texas,2007,4
Texas,2008,9
Texas,2009,5
Texas,2012,4
Texas,2014,7
Texas,2015,3
Texas,2016,1
Unknown,1999,1
Unknown,2000,1
Unknown,2001,21
Unknown,2002,73
Unknown,2003,45
Unknown,2004,35
Unknown,2005,36
Unknown,2006,51
Unknown,2007,22
Unknown,2008,25
Unknown,2009,114
Unknown,2010,26
Unknown,2011,16
Unknown,2012,7
Unknown,2013,11
Unknown,2014,17
Unknown,2015,21
Unknown,2016,9
Utah,2000,1
Utah,2001,2
Utah,2004,2
Utah,2009,2
Utah,2011,2
Virginia,2000,1
Virginia,2001,8
Virginia,2002,6
Virginia,2003,1
Virginia,2004,2
Virginia,2005,2
Virginia,2006,4
Virginia,2008,4
Virginia,2009,3
Virginia,2011,1
Virginia,2012,1
Virginia,2015,1
Washington,2000,1
Washington,2003,1
Washington,2004,1
Washington,2005,2
Washington,2006,1
Washington,2007,2
Washington,2008,1
Washington,2009,2
Washington,2010,1
Washington,2011,1
Washington,2012,1
Washington,2013,1
Washington,2015,2
West Virginia,2002,1
West Virginia,2006,1
West Virginia,2008,1
West Virginia,2012,1
Wisconsin,2000,1
