"year","id_","AGE","EDUC","SEX","RACETH","RELIG","sex1","race1","relig1","educ1","age1","sex2","race2","relig2","educ2","age2","sex3","race3","relig3","educ3","age3","sex4","race4","relig4","educ4","age4","sex5","race5","relig5","educ5","age5"
"1985","1985.1","33","16 or more","Male","White","Jewish","Male","White","Jewish","16 or more","32","Female","White","Protestant","16 or more","29","Male","White","Jewish","16 or more","32","Male","White","Jewish","16 or more","35","Female","White","Catholic","13-15 years","29"
"1985","1985.2","49","16 or more","Male","White","Catholic","Female","White","Catholic","12 years","42","Male","White","Jewish","16 or more","44","Male","White","Jewish","16 or more","45","Female","White","Catholic","12 years","40","Male","White","Jewish","16 or more","50"
"1985","1985.3","23","16 or more","Female","White","Jewish","Female","White","Jewish","16 or more","25","Female","White","Jewish","12 years","24","Female","White","Jewish","16 or more","46","Female","White","Jewish","16 or more","21","Female","White","Jewish","16 or more","35"
"1985","1985.4","26","16 or more","Female","White","Jewish","Female","White","None","16 or more","26","Male","White","Protestant","16 or more","27","Male","White","None","16 or more","28","Male","White","None","16 or more","27","Female","White","Jewish","16 or more","25"
"1985","1985.5","24","16 or more","Female","White","Catholic","Female","White","Catholic","12 years","44","Female","White","Catholic","13-15 years","25","Male","White","Catholic","13-15 years","20","Male","White","Catholic","13-15 years","19","Male","White","Catholic","Less than 10","12"
"1985","1985.6","45","16 or more","Male","White","None","Male","White","Protestant","16 or more","40","Male","White","None","16 or more","35","Male","White","None","16 or more","44","Female","White","Protestant","16 or more","35",NA,NA,NA,NA,NA
"1985","1985.7","44","16 or more","Female","White","Jewish","Female","White","Jewish","16 or more","33","Female","White","Jewish","16 or more","43","Female","White","None","13-15 years","41","Female","White",NA,"16 or more","40","Male","White","Jewish","13-15 years","37"
"1985","1985.8","56","12 years","Female","White","Catholic","Female","Hispanic",NA,"16 or more","40","Male","White",NA,NA,"50","Female","White",NA,"12 years","40","Male","Black",NA,"16 or more","50","Male","Other",NA,"16 or more","65"
"1985","1985.9","85","Less than 10","Female","White","Catholic","Female","White","Catholic","12 years","45","Male","White","Catholic","Less than 10","84",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1985","1985.10","65","12 years","Female","White","Catholic","Female","White","Catholic","12 years","65",NA,"White","Catholic","13-15 years","65",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1985","1985.11","32","16 or more","Male","Hispanic","Catholic","Male","Hispanic","Catholic","13-15 years","25","Male","Hispanic","Catholic","13-15 years","31","Female","Hispanic","Catholic","13-15 years","23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1985","1985.12","71","10-11 years","Male","Black","Protestant",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1985","1985.13","79","Less than 10","Female","Black","Protestant","Female","Black","Protestant","12 years","57","Female","Black","Protestant","12 years","57","Male","Black","Protestant","12 years","73",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1985","1985.14","73","Less than 10","Male","Black","Protestant","Female","Black","Protestant","Less than 10","63","Male","Black","Protestant",NA,"57",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1985","1985.15","77","Less than 10","Female","Black","Protestant",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1985","1985.16","30","13-15 years","Female","Hispanic","Catholic","Female","White","Catholic","12 years","45","Female","White","Jewish","16 or more","51","Female","White","Catholic","13-15 years","33",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1985","1985.17","69","12 years","Female","White","Jewish","Male","White","Jewish","12 years","69","Female","White","Catholic",NA,NA,"Male","White","Jewish","16 or more","34","Female","White","Jewish","16 or more","40","Female","White","Jewish","13-15 years","38"
"1985","1985.18","59","Less than 10","Male","Hispanic","Catholic","Female","Hispanic","Catholic","13-15 years","48",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1985","1985.19","67","Less than 10","Female","White","Jewish",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1985","1985.20","68","Less than 10","Male","White","Catholic","Female","White","Catholic","Less than 10","64","Male","White","Catholic","10-11 years","63","Female","White","Catholic","12 years","33","Female","White","Catholic","12 years","36",NA,NA,NA,NA,NA
"1985","1985.21","28","12 years","Female","White","Catholic","Female","White","Catholic","10-11 years","61","Female","White","Catholic","10-11 years","22","Female","White","Other","12 years","24","Male","White","Other","10-11 years","28","Female","White","Catholic","12 years","21"
"1985","1985.22","59","10-11 years","Female","White","Catholic","Male","White","Catholic","10-11 years","63","Male","White","Catholic","16 or more","33","Male","White","Catholic","12 years","31","Female","White","Catholic","16 or more","27",NA,NA,NA,NA,NA
